timestamp,v_x,w_z
1715420042.166468301,2.05315,0.0552907
1715420042.216544991,2.07669,0.0332409
1715420042.266468183,2.07394,-0.0391886
1715420042.316465968,2.07554,0.0114876
1715420042.366431735,2.13043,0.0794397
1715420042.416462919,2.09393,0.0318724
1715420042.466432732,2.02827,0.0374866
1715420042.516470768,2.07173,0.0335545
1715420042.566431676,2.07167,0.0757807
1715420042.616455968,2.07143,0.0462432
1715420042.666477706,2.08973,0
1715420042.716475520,2.0774,0.0332206
1715420042.766433810,2.13593,0.0290174
1715420042.816462565,2.09694,0.0319722
1715420042.866437407,2.03161,0.0393689
1715420042.916434450,2.07518,0.0341913
1715420042.966430705,2.13311,-0.00921687
1715420043.016455975,2.0945,0.0211567
1715420043.066449114,2.08639,0.0610443
1715420043.116466791,2.0919,0.0331222
1715420043.166429660,2.11135,-0.0118259
1715420043.216443673,2.0985,0.0196128
1715420043.266445325,2.09026,0.0272325
1715420043.316470786,2.09602,0.0218985
1715420043.366431228,2.08626,0.0614274
1715420043.416502964,2.093,0.0337568
1715420043.466430138,2.11124,-0.0992888
1715420043.516473555,2.09925,-0.0061974
1715420043.566425910,2.06728,0.141977
1715420043.616423405,2.08863,0.0382895
1715420043.666428249,2.09395,0
1715420043.716427494,2.09048,0.0277102
1715420043.766491455,2.06235,0.0738821
1715420043.816466959,2.08097,0.0415643
1715420043.866445145,2.13843,0.037781
1715420043.916538447,2.10027,0.0404253
1715420043.966479180,2.02465,0.0253319
1715420044.016457159,2.07476,0.0359079
1715420044.066431245,2.13973,0.122063
1715420044.116505565,2.09646,0.0617845
1715420044.166455049,2.10332,-0.0573424
1715420044.216457991,2.09883,0.0260412
1715420044.266431581,2.02195,0.0853641
1715420044.316457797,2.0732,0.0438608
1715420044.366464922,2.14346,-0.0262995
1715420044.416471380,2.09692,0.0228231
1715420044.466430644,2.03391,0.0664044
1715420044.516479102,2.07567,0.0359096
1715420044.566434709,2.0735,0.0124201
1715420044.616465151,2.07465,0.0288551
1715420044.666430815,2.14394,0.0966114
1715420044.716459586,2.09786,0.0492047
1715420044.766479756,2.09411,-0.0551647
1715420044.816461944,2.09668,0.0178865
1715420044.866430440,2.03001,0.0596085
1715420044.916458670,2.0743,0.0304032
1715420044.966473835,2.11777,0.0747167
1715420045.016486245,2.08885,0.043714
1715420045.066429455,2.09615,0
1715420045.116459615,2.09132,0.0307434
1715420045.166472817,2.04572,0.00551555
1715420045.216440320,2.07611,0.0231636
1715420045.266425269,2.06645,0.0508802
1715420045.316431880,2.07286,0.0315012
1715420045.366433883,2.09612,0.0332977
1715420045.416484477,2.08044,0.0320402
1715420045.466428432,2.10602,0.0625277
1715420045.516431427,2.08918,0.041195
1715420045.566436030,2.11039,0.0934393
1715420045.616462078,2.09655,0.0568802
1715420045.666433460,2.10747,0.013544
1715420045.716461170,2.10046,0.0438913
1715420045.766431623,2.08929,0.0369474
1715420045.816431580,2.09671,0.0418192
1715420045.866431550,2.04373,0.0274925
1715420045.916466176,2.07908,0.0375248
1715420045.966436412,2.08992,0.00702874
1715420046.016465502,2.08253,0.028384
1715420046.066424810,2.1255,0.0667504
1715420046.116464784,2.0969,0.0399014
1715420046.166511990,2.07729,-0.0117569
1715420046.216607464,2.09024,0.0244091
1715420046.266425253,2.03896,0.0899213
1715420046.316430459,2.07285,0.0440877
1715420046.366450777,2.14288,0.0639299
1715420046.416474006,2.09623,0.0500585
1715420046.466428793,2.089,0.0518882
1715420046.516459127,2.09376,0.0506715
1715420046.566461233,2.08613,0.0313935
1715420046.616479015,2.09125,0.0448952
1715420046.666423163,2.05175,0.103855
1715420046.716462085,2.07793,0.0626221
1715420046.766500865,2.08855,0.0117065
1715420046.816451202,2.08148,0.0473535
1715420046.866428798,2.13065,0.0289118
1715420046.916450980,2.09785,0.0418221
1715420046.966543795,2.09111,-0.020489
1715420047.016468678,2.09586,0.0231138
1715420047.066427828,2.04992,0.104159
1715420047.116473614,2.08035,0.0474108
1715420047.166506638,2.12357,0
1715420047.216552393,2.09471,0.0327848
1715420047.266464295,2.07881,0.0478862
1715420047.316454066,2.08961,0.0373075
1715420047.366454994,2.10823,0.0213139
1715420047.416504989,2.09581,0.03252
1715420047.466427235,2.08323,0.108663
1715420047.516466711,2.09181,0.0553845
1715420047.566442842,2.11515,-0.0138062
1715420047.616426440,2.0999,0.0346335
1715420047.666432212,2.03169,0.0881097
1715420047.716500214,2.0769,0.0506777
1715420047.766479483,2.06751,0.0224734
1715420047.816461574,2.07348,0.0422436
1715420047.866935581,2.14711,0.108474
1715420047.916466428,2.09832,0.0621483
1715420047.966465024,2.08391,-0.0475121
1715420048.016462140,2.09357,0.0292334
1715420048.066512291,2.06547,0.105081
1715420048.116449166,2.2,0
1715420048.166486694,1.95,0.0652733
1715420048.216470410,2.09744,0.0450283
1715420048.266438236,2.10708,0.0316211
1715420048.316499661,2.10095,0.0410165
1715420048.366521280,2.02586,0.073972
1715420048.416434788,2.07587,0.0509241
1715420048.466515640,2.08633,0.0197723
1715420048.516494899,2.07924,0.0415785
1715420048.566656920,2.12797,0.078436
1715420048.616488848,2.09548,0.0526305
1715420048.666597768,2.07474,0.0286732
1715420048.716481759,2.08841,0.0454446
1715420048.766531853,2.1223,0.0212817
1715420048.816435808,2.09971,0.0381912
1715420048.866930182,2.10053,0.130926
1715420048.916467618,2.10013,0.0660435
1715420048.966480852,2.039,-0.0250277
1715420049.016455887,2.07972,0.0387334
1715420049.066464225,2.07056,0.0476827
1715420049.116461628,2.07646,0.0414195
1715420049.166466172,2.07381,0.0102057
1715420049.216457037,2.07534,0.0320636
1715420049.266463894,2.14415,0.0450267
1715420049.316518545,2.09848,0.0359429
1715420049.366506449,2.06221,0.0381064
1715420049.416429439,2.08636,0.0365763
1715420049.466429261,2.11233,0.0510475
1715420049.516513375,2.09499,0.0409063
1715420049.566458534,2.11513,0.0449797
1715420049.616460333,2.1018,0.042125
1715420049.666427826,2.08862,0.0593153
1715420049.716469795,2.09755,0.0472645
1715420049.766463392,2.05535,0.0687985
1715420049.816461314,2.0835,0.0537318
1715420049.866427975,2.06963,0.072328
1715420049.916484044,2.07869,0.0593303
1715420049.966430065,2.14856,-0.0523631
1715420050.016431840,2.10202,0.0258252
1715420050.066447698,2.0736,0.0992912
1715420050.116527142,2.09259,0.0478653
1715420050.166436924,2.10271,-0.0046499
1715420050.216467281,2.09602,0.0321097
1715420050.266448402,2.09966,0.0736113
1715420050.316474807,2.09727,0.0445682
1715420050.366450384,2.05269,0.0279529
1715420050.416427292,2.08225,0.0395914
1715420050.466432466,2.12578,0
1715420050.516452469,2.09677,0.0266384
1715420050.566427596,2.11699,0.114325
1715420050.616462897,2.10358,0.0529651
1715420050.666460574,2.0852,0.0645669
1715420050.716465292,2.09757,0.056452
1715420050.766430933,2.07938,0.0399782
1715420050.816460035,2.09169,0.0515202
1715420050.866425760,2.1157,0.0109473
1715420050.916463949,2.0998,0.0393224
1715420050.966436184,2.10109,0.0450757
1715420051.016465630,2.10026,0.0410616
1715420051.066431001,2.09623,0.0557834
1715420051.116489690,2.09903,0.0454811
1715420051.166435033,2.03067,0.056221
1715420051.216468590,2.07478,0.0487072
1715420051.266435814,2.07556,0.0274197
1715420051.316462959,2.07474,0.0423223
1715420051.366453794,2.11708,-0.0046862
1715420051.416455827,2.08904,0.028194
1715420051.466439826,2.08346,0.0992471
1715420051.516464561,2.0873,0.0495189
1715420051.566519138,2.11612,-0.0153658
1715420051.616443950,2.09695,0.0300279
1715420051.666430435,2.02687,0.162623
1715420051.716460485,2.07342,0.069834
1715420051.766435764,2.10962,0
1715420051.816486795,2.08533,0.0479711
1715420051.866470182,2.09453,-0.00803652
1715420051.916511787,2.08828,0.0311293
1715420051.966450772,2.06297,0.0260185
1715420052.016467543,2.07987,0.0295858
1715420052.066464632,2.13684,0.0180629
1715420052.116460880,2.09916,0.0261116
1715420052.166429930,2.02083,0.0693327
1715420052.216457181,2.07304,0.039086
1715420052.266446329,2.07264,0.0824112
1715420052.316463540,2.0726,0.0521019
1715420052.366484060,2.07604,0.0169553
1715420052.416470341,2.07362,0.0415637
1715420052.466440026,2.14923,0.0452655
1715420052.516464760,2.09889,0.0426762
1715420052.566457935,2.03049,0.0192019
1715420052.616464002,2.0758,0.0356266
1715420052.666436972,2.11321,0.105292
1715420052.716460985,2.08818,0.0565368
1715420052.766457593,2.07923,-0.00974015
1715420052.816488152,2.08525,0.0366344
1715420052.866430797,2.05622,0.151509
1715420052.916439974,2.07556,0.0711101
1715420052.966429963,2.09563,0
1715420053.016457953,2.08204,0.049955
1715420053.066460345,2.05215,0.0527626
1715420053.116517830,2.09133,-0.00823902
1715420053.166431192,2.07827,0.0330811
1715420053.216439672,2.07816,0.0330818
1715420053.266429685,2.06006,0.0903903
1715420053.316424142,2.07185,0.0502808
1715420053.366427799,2.08344,0.0526549
1715420053.416446493,2.07567,0.051006
1715420053.466568378,2.1453,-0.0202089
1715420053.516470398,2.09895,0.0296449
1715420053.566425689,2.05488,0.0569508
1715420053.616476465,2.08406,0.0378195
1715420053.666430431,2.13162,0.0468206
1715420053.716455574,2.09999,0.0405018
1715420053.766432623,2.08863,0.0762353
1715420053.816457059,2.09631,0.0512215
1715420053.866566201,2.02776,0.0389172
1715420053.916463488,2.07318,0.0475395
1715420053.966440147,2.10262,0.0227082
1715420054.016451425,2.08283,0.0400891
1715420054.066466492,2.09051,0.0316239
1715420054.116430070,2.08528,0.0375405
1715420054.166456446,2.04536,0.0310514
1715420054.216466688,2.07197,0.035579
1715420054.266427329,2.13547,0.0588265
1715420054.316433103,2.09339,0.0425536
1715420054.366453677,2.09311,0.0716965
1715420054.416461095,2.09338,0.0513226
1715420054.466457399,2.07089,-0.0237082
1715420054.516468289,2.08589,0.0287899
1715420054.566438034,2.11245,0.0129716
1715420054.616462160,2.09475,0.0240376
1715420054.666429070,2.02546,0.0339894
1715420054.716433406,2.07165,0.0269747
1715420054.766460606,2.12744,0.0960182
1715420054.816448701,2.09034,0.0476875
1715420054.866443066,2.11334,-0.010171
1715420054.916440672,2.09815,0.0303292
1715420054.966449882,2.0856,0.0553363
1715420055.016455270,2.09416,0.0378407
1715420055.066655784,2.0828,0.11488
1715420055.116433313,2.09028,0.0609919
1715420055.166469406,2.08957,-0.0741015
1715420055.216427904,2.09028,0.0204428
1715420055.266435121,2.09148,0.0406846
1715420055.316459846,2.09092,0.0264864
1715420055.366473748,2.0625,0.0873782
1715420055.416461770,2.08155,0.0447576
1715420055.466520623,2.11309,0.0136258
1715420055.516460440,2.09199,0.0354099
1715420055.566456368,2.03146,0.0458678
